tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,60485,14283
Lyon,triangle,10,31241,11950
Lyon,triangle,10,27953,8873
Lyon,triangle,10,31152,14005
Lyon,triangle,10,31059,11881
Lyon,triangle,10,29851,9507
Lyon,triangle,10,29976,11511
Lyon,triangle,10,36384,9465
Lyon,triangle,10,29931,11507
Lyon,triangle,10,30122,9168
Lyon,triangle,10,30030,8821
Lyon,triangle,10,30237,9241
Lyon,triangle,10,29795,10249
Lyon,triangle,10,29078,9120
Lyon,triangle,10,29510,8819
Lyon,triangle,10,29661,9097
Lyon,triangle,10,29755,9240
Lyon,triangle,10,30072,8667
Lyon,triangle,10,29291,8986
Lyon,triangle,10,29867,8790
Lyon,triangle,10,29629,9060
Lyon,triangle,10,30713,8866
Lyon,triangle,10,30321,8688
Lyon,triangle,10,30481,7733
Lyon,triangle,10,29720,8831
Lyon,triangle,10,29574,8893
Lyon,triangle,10,29603,8314
Lyon,triangle,10,29572,9205
Lyon,triangle,10,29923,8178
Lyon,triangle,10,29789,9018
Lyon,triangle,10,30251,8294
Lyon,triangle,10,29707,11948
Lyon,triangle,10,29907,8564
Lyon,triangle,10,33681,10819
Lyon,triangle,10,21837,9255
Lyon,triangle,10,20343,5848
Lyon,triangle,10,19510,5499
Lyon,triangle,10,19069,5639
Lyon,triangle,10,19181,5454
Lyon,triangle,10,18756,5236
Lyon,triangle,10,19270,5308
Lyon,triangle,10,18876,5211
Lyon,triangle,10,18383,5162
Lyon,triangle,10,19083,5096
Lyon,triangle,10,18918,5338
Lyon,triangle,10,18108,5097
Lyon,triangle,10,18642,5199
Lyon,triangle,10,18563,5151
Lyon,triangle,10,18535,5212
Lyon,triangle,10,19042,5173
Lyon,triangle,10,18199,5163
Lyon,triangle,10,17996,5122
Lyon,triangle,10,18403,5232
Lyon,triangle,10,18663,5306
Lyon,triangle,10,18467,5277
Lyon,triangle,10,18992,5115
Lyon,triangle,10,18318,5046
Lyon,triangle,10,28684,8112
Lyon,triangle,10,27723,9277
Lyon,triangle,10,21604,11752
Lyon,triangle,10,20038,8516
Lyon,triangle,10,19504,8751
Lyon,triangle,10,18809,8640
Lyon,triangle,10,19758,8653
Lyon,triangle,10,28012,8848
Lyon,triangle,10,29775,12205
Lyon,triangle,10,30193,9704
Lyon,triangle,10,29936,8742
Lyon,triangle,10,29890,8532
Lyon,triangle,10,30112,8048
Lyon,triangle,10,29793,10958
Lyon,triangle,10,29565,8954
Lyon,triangle,10,30494,6400
Lyon,triangle,10,29321,9198
Lyon,triangle,10,29670,8876
Lyon,triangle,10,29458,8855
Lyon,triangle,10,28425,9257
Lyon,triangle,10,29184,9255
Lyon,triangle,10,29647,8961
Lyon,triangle,10,29947,8338
Lyon,triangle,10,29503,9194
Lyon,triangle,10,30545,8267
Lyon,triangle,10,30045,7766
Lyon,triangle,10,29993,8880
Lyon,triangle,10,29833,8024
Lyon,triangle,10,28588,8390
Lyon,triangle,10,30877,9511
Lyon,triangle,10,29647,9487
Lyon,triangle,10,29859,8986
Lyon,triangle,10,30044,9103
Lyon,triangle,10,26354,9260
Lyon,triangle,10,29632,9562
Lyon,triangle,10,30201,7323
Lyon,triangle,10,29474,9068
Lyon,triangle,10,30156,8544
Lyon,triangle,10,29929,8614
Lyon,triangle,10,29846,7691
Lyon,triangle,10,29685,8452
Lyon,triangle,10,29605,8973
Lyon,triangle,10,29893,8626
Lyon,triangle,10,29216,9035
Lyon,triangle,10,29358,8531
Lyon,triangle,10,29306,8886
Lyon,triangle,10,29563,8513
Lyon,triangle,10,29829,8228
Lyon,triangle,10,26756,7244
Lyon,triangle,10,23703,7174
Lyon,triangle,10,24494,7384
Lyon,triangle,10,23197,7240
Lyon,triangle,10,23866,7867
Lyon,triangle,10,25180,8442
Lyon,triangle,10,24583,16709
Lyon,triangle,10,29212,8627
Lyon,triangle,10,28056,8212
Lyon,triangle,10,27040,8295
Lyon,triangle,10,27263,8135
Lyon,triangle,10,26988,7877
Lyon,triangle,10,26662,8011
Lyon,triangle,10,27246,8221
Lyon,triangle,10,26970,8210
Lyon,triangle,10,27078,7893
Lyon,triangle,10,27290,11878
Lyon,triangle,10,27029,8119
Lyon,triangle,10,27211,7936
Lyon,triangle,10,26927,7884
Lyon,triangle,10,26752,7948
Lyon,triangle,10,26850,8110
Lyon,triangle,10,27171,8149
Lyon,triangle,10,27257,7983
Lyon,triangle,10,27342,8198
Lyon,triangle,10,27160,8248
Lyon,triangle,10,27055,7911
Lyon,triangle,10,27220,10156
Lyon,triangle,10,27076,7946
Lyon,triangle,10,27229,7980
Lyon,triangle,10,26675,8069
Lyon,triangle,10,27135,7984
Lyon,triangle,10,26979,7996
Lyon,triangle,10,26991,8005
Lyon,triangle,10,27092,8034
Lyon,triangle,10,27036,8131
Lyon,triangle,10,26523,8406
Lyon,triangle,10,27250,8262
Lyon,triangle,10,28597,8365
Lyon,triangle,10,27474,8058
Lyon,triangle,10,27289,8077
Lyon,triangle,10,27638,8339
Lyon,triangle,10,27574,8067
Lyon,triangle,10,27255,8111
Lyon,triangle,10,27503,8112
Lyon,triangle,10,27471,7942
Lyon,triangle,10,27222,8284
Lyon,triangle,10,27171,8157
Lyon,triangle,10,27342,8149
