tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,1000,2479420,530264
Lyon,triangle,1000,2326394,568107
Lyon,triangle,1000,1963641,589040
Lyon,triangle,1000,1797545,386050
Lyon,triangle,1000,1416577,399275
Lyon,triangle,1000,1426852,383934
Lyon,triangle,1000,1702472,588572
Lyon,triangle,1000,2375671,649983
Lyon,triangle,1000,2008724,547463
Lyon,triangle,1000,1927057,421643
Lyon,triangle,1000,1648144,395002
Lyon,triangle,1000,1484154,398363
Lyon,triangle,1000,1514855,385719
Lyon,triangle,1000,1474172,571057
Lyon,triangle,1000,2339697,656802
Lyon,triangle,1000,2385287,639116
Lyon,triangle,1000,2138332,586128
Lyon,triangle,1000,2011549,463274
Lyon,triangle,1000,2157460,739366
Lyon,triangle,1000,2523394,729996
Lyon,triangle,1000,2526648,730323
Lyon,triangle,1000,2427829,785465
Lyon,triangle,1000,2800981,739525
Lyon,triangle,1000,2758562,734592
Lyon,triangle,1000,2636594,748594
Lyon,triangle,1000,2763064,763464
Lyon,triangle,1000,2540615,798215
Lyon,triangle,1000,2492363,744954
Lyon,triangle,1000,2467627,722765
Lyon,triangle,1000,2510824,755565
Lyon,triangle,1000,2853724,666149
Lyon,triangle,1000,2763651,827449
Lyon,triangle,1000,2717882,769638
Lyon,triangle,1000,2473485,750785
Lyon,triangle,1000,2661701,764852
Lyon,triangle,1000,2559199,751567
Lyon,triangle,1000,2511203,738536
Lyon,triangle,1000,2421394,741448
Lyon,triangle,1000,2504754,732407
Lyon,triangle,1000,2501779,753921
Lyon,triangle,1000,2847443,777618
Lyon,triangle,1000,2686955,803583
Lyon,triangle,1000,2558214,736946
Lyon,triangle,1000,2450692,721809
Lyon,triangle,1000,2560717,764296
Lyon,triangle,1000,2590587,744168
Lyon,triangle,1000,2472412,751497
Lyon,triangle,1000,2484186,742120
Lyon,triangle,1000,2481580,744614
Lyon,triangle,1000,2587500,692395
Lyon,triangle,1000,2706410,806524
Lyon,triangle,1000,2825168,764041
Lyon,triangle,1000,2524543,740963
Lyon,triangle,1000,2492284,736906
Lyon,triangle,1000,2506440,762824
Lyon,triangle,1000,2574144,767337
Lyon,triangle,1000,2647538,768512
Lyon,triangle,1000,2733967,767823
Lyon,triangle,1000,2552543,747081
Lyon,triangle,1000,2493840,738121
Lyon,triangle,1000,2487018,720216
Lyon,triangle,1000,2544925,756753
Lyon,triangle,1000,2616623,805138
Lyon,triangle,1000,2767365,766035
Lyon,triangle,1000,2541041,751256
Lyon,triangle,1000,2418789,722228
Lyon,triangle,1000,2610479,753748
Lyon,triangle,1000,2735896,805696
Lyon,triangle,1000,2627908,760100
Lyon,triangle,1000,2554952,752104
Lyon,triangle,1000,2517865,739618
Lyon,triangle,1000,2560213,751437
Lyon,triangle,1000,2514747,802278
Lyon,triangle,1000,2781112,776882
Lyon,triangle,1000,2829671,671134
Lyon,triangle,1000,2568366,737715
Lyon,triangle,1000,2542338,739966
Lyon,triangle,1000,2522723,765667
Lyon,triangle,1000,2571968,762270
Lyon,triangle,1000,2702465,733042
Lyon,triangle,1000,2727870,735164
Lyon,triangle,1000,2579345,745448
Lyon,triangle,1000,2514435,754035
Lyon,triangle,1000,2489712,696558
Lyon,triangle,1000,2501941,721630
Lyon,triangle,1000,2857861,757404
Lyon,triangle,1000,2711846,763932
Lyon,triangle,1000,2433586,741197
Lyon,triangle,1000,2497186,737318
Lyon,triangle,1000,2485544,741137
Lyon,triangle,1000,2449503,795700
Lyon,triangle,1000,2742741,767313
